Enter a file name
D:\Wesley\Downloads\alice.txt
, 62
frowning, 4
nicely, 2
half, 21
spoke, 16
hall, 9
NEAR, 1
pretend, 1
tea, 12
twinkling, 4
drunk, 2
Sure, 4
would, 70
treaclewelleh, 1
rabbit, 2
legs, 3
ten, 5
blasts, 2
solid, 1
meanwhile, 1
spreading, 1
Game, 1
size, 13
left, 14
temper, 5
A, 17
telling, 2
D, 1
I, 401
turn, 7
balanced, 1
M, 3
O, 2
result, 1
corners, 1
same, 23
T, 1
V, 1
chrysalisyou, 1
bowing, 1
W, 1
stirring, 2
X, 1
woodshe, 1
after, 36
quiet, 2
hand, 19
minea, 1
Hush, 2
a, 610
ordered, 4
thingsI, 1
salt, 2
BEE, 1
BEG, 1
Nobody, 3
eating, 1
m, 1
the, 1514
straight, 2
p, 1
throw, 3
fifth, 1
thank, 1
Ada, 1
violent, 2
thy, 1
Its, 21
good, 25
empty, 1
SHE, 4
tie, 1
pigs, 2
ferrets, 2
besides, 3
laugh, 1
others, 7
tis, 2
making, 8
Youll, 2
gone, 13
sand, 1
walked, 10
sang, 2
Ive, 33
Whos, 1
bursting, 1
SIT, 1
Canterbury, 1
harm, 1
downwards, 1
clinging, 1
flown, 1
nowhere, 2
arranged, 1
patiently, 2
hard, 8
roof, 6
teatime, 2
room, 13
better, 14
well, 37
PROVES, 1
splash, 1
taking, 5
uglifying, 1
FishFootman, 2
Dinn, 1
neverending, 1
Turtlewe, 1
experiment, 2
gained, 1
struck, 2
hate, 1
order, 3
peeped, 3
went, 83
pressed, 3
considering, 3
timid, 3
distant, 2
custody, 2
bringing, 3
crazy, 1
thats, 14
pink, 1
woman, 2
save, 1
protection, 1
solemnly, 4
matter, 9
shutting, 2
footsteps, 2
caterpillar, 1
top, 8
too, 25
have, 73
noise, 3
roast, 1
energetic, 1
taller, 2
question, 17
wept, 1
housemaid, 1
vinegar, 1
cheap, 1
picture, 1
hippopotamus, 1
trusts, 1
rose, 1
thousand, 2
Very, 5
teatray, 1
All, 5
capital, 4
lets, 4
upon, 26
contemptuous, 1
spoon, 2
quite, 53
lap, 2
pigeon, 1
circumstances, 1
law, 2
lay, 4
lest, 1
pardon, 6
plenty, 1
less, 3
TOOK, 1
were, 87
And, 67
shining, 1
try, 12
rudeness, 1
hateC, 1
Dinah, 11
patriotic, 1
Ann, 4
became, 2
hastily, 16
weve, 2
times, 6
milkjug, 1
floor, 3
says, 4
direction, 5
That, 9
Drawlingmaster, 1
Their, 1
cry, 3
opening, 3
hatching, 1
croquetground, 2
pineapple, 1
spoken, 1
caught, 3
rabbits, 1
concert, 2
clamour, 1
led, 4
pity, 3
unimportant, 1
beautiful, 8
tut, 1
let, 7
Then, 21
state, 1
scolded, 1
cares, 2
queerest, 1
night, 3
pace, 1
havent, 8
opposite, 1
pack, 5
each, 7
Are, 4
moreAs, 1
supple, 1
bawled, 1
Mabel, 4
cup, 2
cur, 1
wasting, 2
wandered, 2
cut, 5
perfectly, 4
killing, 1
two, 31
moment, 29
piecrust, 1
calmly, 1
does, 6
pencils, 1
fondofof, 1
worried, 1
kitchen, 4
think, 50
occurred, 2
refused, 1
anxiously, 14
FULCRUM, 1
Run, 1
They, 18
mournfully, 1
FATHER, 2
watch, 7
speech, 3
ointmentone, 1
purple, 1
thing, 49
cartwheels, 1
fashion, 2
lefthand, 2
slatepencil, 1
undertone, 2
lie, 2
unable, 1
shook, 9
There, 25
fellows, 1
lit, 1
feathers, 1
blows, 1
dogs, 4
This, 17
shrieks, 1
glass, 10
pigbaby, 1
juror, 1
prosecute, 1
dunce, 1
doubt, 4
Involved, 1
These, 2
fixed, 1
full, 6
pepper, 5
away, 25
memory, 1
cards, 3
askance, 1
house, 18
mice, 3
realitythe, 1
currants, 1
attends, 1
hours, 4
unjust, 1
shore, 3
thatIt, 1
WHAT, 6
pair, 5
licking, 1
manage, 7
fallen, 4
CroquetGround, 1
short, 4
cauldron, 2
verses, 4
imitated, 1
INSIDE, 1
downward, 1
Come, 21
three, 26
climb, 1
remembered, 5
Suppose, 2
Presently, 2
golden, 7
fountains, 2
lonely, 2
pale, 4
furiously, 1
flowers, 2
threw, 2
players, 4
dates, 1
fryingpan, 1
coast, 1
telescopes, 1
consultation, 1
sorrows, 1
Write, 1
bright, 7
teaching, 1
Morcar, 2
low, 14
voicesHold, 1
merely, 2
manners, 1
meant, 5
means, 4
Puss, 1
fury, 1
Canary, 1
Youre, 8
centre, 1
blown, 1
Found, 2
ravens, 1
fetch, 6
fellow, 4
hanging, 3
contradicted, 1
doubledup, 1
door, 29
teacup, 3
dodged, 1
quick, 1
audibly, 1
tell, 27
daresay, 1
Like, 1
disappeared, 2
checked, 3
pointing, 4
affair, 1
DRINK, 2
day, 25
accustomed, 1
raising, 1
drinking, 1
curiosity, 5
minutes, 11
Queen, 67
particular, 4
done, 15
water, 4
puzzling, 4
pause, 2
stays, 1
whiskers, 3
CAN, 4
tittered, 1
sobbed, 1
apples, 2
dont, 51
alternately, 1
part, 2
conversations, 1
Kings, 3
Soooop, 7
werent, 1
CHORUS, 2
tones, 2
relief, 2
Will, 5
wildly, 2
noticing, 1
ears, 5
someone, 1
Youve, 1
further, 3
enoughI, 1
hasnt, 2
beasts, 2
shouted, 9
doth, 2
engraved, 1
finds, 1
startled, 2
WONDERLAND, 1
examining, 1
railway, 2
unrolled, 2
going, 27
carefully, 3
banks, 1
pass, 1
past, 1
mile, 1
shock, 1
milk, 1
bill, 1
whose, 2
easy, 2
Here, 9
smiled, 2
See, 1
bathing, 1
eats, 1
yetOh, 1
choosing, 1
waited, 11
FOOT, 1
THE, 9
adoption, 1
Eaglet, 3
grass, 4
annoyed, 1
mine, 5
mind, 9
business, 7
right, 29
possible, 1
shoes, 6
Youd, 1
taught, 4
returning, 1
Your, 2
under, 16
did, 59
TIS, 1
die, 1
dig, 1
added, 23
cheated, 1
down, 98
shifting, 1
She, 35
wretched, 2
later, 3
lookout, 1
bird, 2
adding, 1
forgotten, 6
barleysugar, 1
seated, 1
Collar, 1
possibly, 3
journey, 1
Trims, 1
Shy, 1
remained, 3
brown, 2
Bythebye, 1
Reeling, 1
Because, 1
acceptance, 1
month, 2
puzzled, 9
learnt, 2
paws, 4
Sir, 1
Sit, 1
Idiot, 1
growling, 1
squeeze, 1
rather, 25
back, 37
otherBill, 1
hedgehogs, 3
miss, 1
With, 4
wasnt, 11
bite, 2
busily, 4
doze, 1
company, 1
length, 1
grand, 3
decidedly, 4
Treacle, 2
baby, 13
grant, 1
showing, 2
brothers, 1
Lizard, 5
tuliproots, 1
attempt, 1
thick, 1
doesnt, 16
Fifteenth, 1
stalk, 1
lock, 1
usually, 2
Even, 1
VERY, 13
letters, 1
chatte, 1
fear, 4
lying, 8
minding, 1
Somebody, 1
bleeds, 1
made, 30
bythe, 1
GAVE, 2
signed, 2
sense, 3
being, 19
mouthsand, 1
knowand, 1
timidly, 9
hoping, 3
printed, 1
field, 1
Seals, 1
messages, 2
dog, 2
upset, 3
glanced, 1
Rabbit, 40
mad, 13
known, 1
nurse, 2
puppys, 1
man, 5
