Enter a file name
D:\Wesley\Downloads\alice.txt -i
, 62
frowning, 4
nicely, 2
thingsi, 1
half, 21
spoke, 16
speakand, 1
hall, 9
your, 62
explanation, 2
pretend, 1
without, 25
youth, 6
kettle, 1
these, 14
begins, 4
quadrille, 4
tea, 12
twinkling, 4
drunk, 2
introduced, 1
would, 83
treaclewelleh, 1
rabbit, 43
legs, 3
yetoh, 1
flapper, 1
ten, 6
youd, 10
prison, 1
sister, 8
blasts, 2
solid, 1
meanwhile, 1
chimneys, 1
spreading, 1
size, 13
remarking, 3
left, 14
temper, 5
wink, 2
baked, 1
thoughtfully, 4
executioners, 1
much, 51
wine, 2
wind, 2
humble, 1
chapter, 12
telling, 2
airs, 1
concluded, 2
talking, 17
turn, 10
balanced, 1
youre, 23
result, 1
arrived, 1
corners, 1
same, 24
chrysalisyou, 1
bowing, 1
curiouser, 2
mabel, 4
stirring, 2
woodshe, 1
after, 42
multiplication, 1
quiet, 2
stupidest, 1
hand, 20
minea, 1
uglification, 2
a, 627
ordered, 4
salt, 2
d, 1
i, 401
stingy, 1
eating, 1
m, 4
o, 2
the, 1630
straight, 2
p, 1
lips, 1
humbly, 2
t, 1
throw, 3
v, 1
w, 1
x, 1
fifth, 1
thank, 4
days, 4
arch, 1
faces, 5
returned, 2
yours, 3
violent, 2
thy, 1
sharply, 4
good, 25
got, 45
empty, 1
wish, 21
tie, 1
pigs, 2
wise, 2
ferrets, 2
wheres, 2
ambition, 1
besides, 4
conversation, 10
laugh, 1
others, 7
roared, 1
tis, 5
eyestell, 1
rome, 1
singers, 2
murder, 1
making, 8
pat, 2
invitation, 2
dinahll, 2
paw, 3
enormous, 1
clearer, 1
list, 3
marmalade, 1
strange, 5
gone, 13
inquired, 1
toast, 1
sand, 1
walked, 10
sang, 2
tails, 3
soles, 1
authority, 2
remarked, 10
bursting, 1
cleared, 1
northumbria, 2
creature, 4
child, 10
harm, 1
young, 5
downwards, 1
clinging, 1
flown, 1
nowhere, 2
arranged, 1
producing, 1
sneezing, 6
patiently, 2
hard, 8
hare, 31
ridge, 1
live, 8
ventured, 4
lodging, 1
roof, 6
teatime, 2
wits, 1
inquisitively, 1
room, 13
better, 14
with, 180
hjckrrh, 1
seeneverything, 1
flowerpot, 1
there, 75
lady, 3
well, 60
hopeless, 1
splash, 1
sistersthey, 1
pocket, 6
taking, 5
wags, 1
uglifying, 1
considered, 3
changing, 2
bearmind, 1
neverending, 1
experiment, 2
gained, 1
williams, 1
struck, 2
hate, 1
afore, 1
flashed, 1
write, 6
pet, 1
order, 3
dripping, 1
peeped, 3
went, 83
proceed, 2
pressed, 3
considering, 3
impertinent, 1
timid, 3
distant, 2
understand, 6
waterwell, 1
custody, 2
slowly, 8
ever, 21
loving, 1
unhappy, 2
bringing, 3
even, 19
arrum, 1
crazy, 1
ropewill, 1
appearing, 1
despair, 1
thats, 33
larger, 7
engaged, 1
queer, 11
pink, 1
hundred, 1
wait, 1
woman, 2
queen, 68
save, 1
protection, 1
solemnly, 4
matter, 9
shutting, 2
footsteps, 2
caterpillar, 27
top, 8
too, 26
turtlewe, 1
have, 80
noise, 3
rapped, 1
beauootiful, 4
roast, 1
violence, 1
energetic, 1
taller, 2
laid, 2
question, 17
raven, 1
wept, 1
housemaid, 1
vinegar, 1
cheap, 1
picture, 1
cherrytart, 1
hippopotamus, 1
names, 2
trusts, 1
rose, 1
sluggard, 1
thousand, 2
teatray, 1
tide, 1
tonight, 1
capital, 4
almost, 6
arrow, 1
lets, 5
manner, 2
upon, 26
pie, 2
pray, 3
pig, 8
wake, 2
pegs, 1
contemptuous, 1
whether, 11
spoon, 2
quite, 55
lap, 2
mineral, 1
hated, 1
hatec, 1
longitude, 2
pigeon, 12
counting, 1
circumstances, 1
terror, 1
law, 2
lay, 4
swam, 5
lest, 1
pardon, 6
kings, 3
plenty, 2
less, 4
christmas, 1
theyd, 4
were, 87
improve, 1
shining, 1
try, 12
arms, 6
twist, 2
rudeness, 1
patriotic, 1
became, 2
rising, 1
hastily, 16
replied, 29
prisoner, 1
cause, 3
weve, 2
oblong, 1
accidentally, 1
times, 6
treaclewell, 1
youve, 6
vulgar, 1
twentieth, 1
attending, 3
busy, 2
milkjug, 1
land, 1
explanations, 1
floor, 3
says, 4
direction, 5
burn, 2
tied, 1
buttons, 1
chief, 1
doubtful, 2
cry, 3
followed, 8
opening, 3
hatching, 1
burning, 1
croquetground, 3
pineapple, 1
conduct, 1
velvet, 1
treading, 2
spoken, 1
machines, 1
tidy, 1
walk, 5
quietly, 5
caught, 3
fanned, 1
rabbits, 4
eels, 1
concert, 2
clamour, 1
led, 4
pity, 3
riddlesi, 1
unimportant, 3
beautiful, 14
tut, 2
lessen, 1
let, 17
state, 1
scolded, 1
welcome, 1
meeting, 1
cares, 2
queerest, 1
began, 58
want, 9
night, 3
pace, 1
havent, 8
opposite, 1
pack, 5
each, 8
himhow, 1
supple, 1
must, 44
bawled, 1
offend, 1
circle, 1
memorandum, 1
cup, 2
cur, 1
wasting, 2
wandered, 2
sourand, 1
cut, 5
perfectly, 4
neatly, 2
killing, 1
giving, 2
two, 39
prize, 1
raving, 2
accident, 2
moment, 29
piecrust, 1
pop, 1
found, 32
calmly, 1
does, 9
pencils, 1
fondofof, 1
alices, 12
worried, 1
kitchen, 4
lark, 1
escape, 4
funny, 3
think, 53
occurred, 2
refused, 1
beating, 2
uneasily, 2
anxiously, 14
fainting, 1
entirely, 2
mournfully, 1
standing, 1
watch, 8
speech, 3
ointmentone, 1
dodo, 13
purple, 1
thing, 49
feelings, 2
cartwheels, 1
fashion, 2
lefthand, 2
till, 21
slatepencil, 1
undertone, 2
lie, 2
had, 178
daisychain, 1
accounting, 1
unable, 1
shook, 9
late, 6
fellows, 1
school, 5
lit, 1
feathers, 1
blows, 1
things, 28
dogs, 4
immense, 1
hat, 1
has, 7
shrieks, 1
cautiously, 3
brush, 1
given, 1
glass, 10
pronounced, 1
sighed, 5
last, 33
pigbaby, 1
juror, 1
prosecute, 1
dunce, 1
wash, 2
doubt, 4
loveliest, 1
uncomfortable, 4
measure, 1
involved, 1
playing, 2
fixed, 1
rattle, 1
swim, 5
jurymen, 5
full, 6
pepper, 7
away, 25
memory, 1
cards, 3
askance, 1
asking, 5
impossible, 3
millennium, 1
complaining, 1
dried, 1
settling, 1
house, 18
mice, 3
realitythe, 1
anything, 19
yesterday, 3
currants, 1
denying, 1
attends, 1
assembled, 2
contemptuously, 2
steady, 1
vote, 1
earls, 2
hours, 4
unjust, 1
yes, 13
yer, 4
shore, 3
yet, 22
gravely, 3
pair, 5
licking, 1
manage, 7
fallen, 4
delightful, 2
short, 4
cauldron, 2
time, 68
thenshe, 1
verses, 4
imitated, 1
downward, 1
youll, 6
hed, 1
happy, 1
pun, 1
alice, 386
three, 26
put, 31
climb, 1
eaglet, 3
remembered, 5
her, 248
lessonbook, 1
whoever, 1
hes, 3
golden, 7
fountains, 2
lonely, 2
pale, 4
rustled, 1
furiously, 1
flowers, 2
having, 10
threw, 2
players, 4
lesson, 1
dates, 1
